(33, 36)
(50, 52)
(41, 49)
(55, 66)
(34, 65)
(45, 65)
(35, 42)
(33, 45)
(42, 48)
(35, 51)
(42, 66)
(46, 48)
(33, 63)
(39, 42)
(40, 41)
(39, 51)
(40, 50)
(46, 66)
(48, 63)
(36, 46)
(41, 42)
(36, 55)
(47, 55)
(41, 51)
(42, 50)
(33, 47)
(50, 63)
(46, 50)
(49, 55)
(40, 52)
(48, 65)
(35, 65)
(47, 48)
(36, 48)
(33, 40)
(42, 52)
(36, 66)
(33, 49)
(47, 66)
(46, 52)
(48, 49)
(39, 46)
(51, 66)
(40, 45)
(49, 66)
(40, 63)
(36, 41)
(36, 50)
(47, 50)
(55, 63)
(42, 45)
(33, 42)
(48, 51)
(49, 50)
(40, 47)
(46, 63)
(45, 46)
(34, 46)
(45, 55)
(34, 55)
(50, 51)
(55, 65)
(36, 52)
(42, 47)
(33, 35)
(47, 52)
(51, 52)
(46, 47)
(39, 41)
(49, 52)
(40, 49)
(46, 65)
(33, 65)
(34, 39)
(45, 48)
(36, 45)
(34, 48)
(45, 66)
(36, 63)
(34, 66)
(42, 49)
(47, 63)
(46, 49)
(51, 63)
(50, 65)
(35, 46)
(40, 42)
(35, 55)
(40, 51)
(49, 63)
(34, 41)
(39, 55)
(34, 50)
(36, 47)
(45, 50)
(63, 65)
(47, 65)
(36, 65)
(41, 46)
(35, 39)
(52, 55)
(41, 55)
(46, 51)
(33, 51)
(51, 65)
(35, 48)
(42, 63)
(35, 66)
(39, 48)
(36, 40)
(34, 52)
(47, 49)
(45, 52)
(40, 65)
(39, 66)
(36, 49)
(41, 48)
(35, 41)
(35, 50)
(52, 66)
(41, 66)
(42, 65)
(34, 36)
(39, 50)
(34, 45)
(36, 42)
(36, 51)
(47, 51)
(45, 63)
(34, 63)
(41, 50)
(33, 46)
(33, 55)
(35, 52)
(48, 55)
(39, 52)
(45, 47)
(34, 47)
(33, 39)
(35, 36)
(41, 52)
(50, 55)
(42, 51)
(33, 48)
(35, 45)
(33, 66)
(35, 63)
(39, 45)
(34, 40)
(45, 49)
(39, 63)
(48, 66)
(34, 49)
(49, 65)
(41, 45)
(33, 41)
(51, 55)
(33, 50)
(50, 66)
(41, 63)
(52, 63)
(35, 47)
(48, 50)
(39, 47)
(65, 66)
(40, 46)
(34, 42)
(36, 39)
(40, 55)
(34, 51)
(39, 65)
(45, 51)
(63, 66)
(33, 34)
(41, 47)
(42, 46)
(35, 40)
(42, 55)
(33, 52)
(35, 49)
(52, 65)
(41, 65)
(39, 40)
(46, 55)
(34, 35)
(39, 49)
(49, 51)
(40, 48)
(48, 52)
(40, 66)
